,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","Question 3","Question 4","Question 5","Question 6","Question 7","Question 8","Question 9","Question 10","Question 11","{{Q://Q12/ChoiceTextEntryValue}}","{{Q://Q13/ChoiceTextEntryValue}}.1","{{Q://Q13/ChoiceTextEntryValue}}.2","{{Q://Q13/ChoiceTextEntryValue}}.3","{{Q://Q13/ChoiceTextEntryValue}}.4","{{Q://Q13/ChoiceTextEntryValue}}.5","{{Q://Q13/ChoiceTextEntryValue}}.6","{{Q://Q13/ChoiceTextEntryValue}}.7","Question 14","Question 15","Question 16","Question 17","Question 18","Question 19","Question 20","Question 21","Question 22","Question 23","Question 24","Question 25"
"01/13/2025 09:55PM","01/13/2025 09:58PM","01/13/2025 05:00PM - 01/13/2025 11:00PM",169.772,"3","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","10.0.78.71","Participant 2","1","5","1","1","1","1","5","5","2","1","1","יש לי פצע קטן על האף שמפריע לי כי הוא טיפה אדום ואני מתעצבנת שהאיפור לא מסתיר את זה ומתביישת אם רואים את זה ","No","No","No","No","No","Yes","","1","2","3","2","2","2","3","3","4","1","5",
"01/14/2025 06:06PM","01/14/2025 06:08PM","01/14/2025 05:00PM - 01/14/2025 11:00PM",113.534,"4","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","192.168.1.56","Participant 2","6","6","1","1","1","1","6","6","6","6","4","לא מרגישה טוב ","No","No","No","No","No","Yes","","1","1","5","4","2","1","5","5","1","1","1",
"01/15/2025 06:01PM","01/15/2025 06:02PM","01/15/2025 05:00PM - 01/15/2025 11:00PM",88.685,"5","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","192.168.1.56","Participant 2","1","6","1","1","2","1","6","5","5","5","1","משהו שקרה בבית ספר ","No","No","No","No","No","Yes","","1","1","6","2","5","1","1","2","1","1","1",
"01/16/2025 10:49PM","01/16/2025 10:50PM","01/16/2025 05:00PM - 01/16/2025 11:00PM",95.239,"6","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","2a00:a041:5b9f:fc00::1005","Participant 2","2","1","1","5","5","5","1","1","3","1","1","לא הצלחתי לעשות משהו ","No","No","No","No","No","Yes","","1","1","1","5","2","1","1","7","1","1","5",
"01/19/2025 09:40PM","01/19/2025 09:41PM","01/19/2025 05:00PM - 01/19/2025 11:00PM",101.959,"9","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","2a00:a041:5b9f:fc00::1005","Participant 2","1","4","1","1","1","1","1","2","1","1","1","תקופת מבחנים ","No","No","No","No","No","Yes","","1","1","1","2","6","1","1","5","6","1","1",
"01/20/2025 10:54PM","01/20/2025 10:56PM","01/20/2025 05:00PM - 01/20/2025 11:00PM",129.669,"10","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","192.168.1.56","Participant 2","2","5","1","1","2","1","6","5","5","2","2","כשלא מאמינים למה שאני אומרת ונותנים לי תחושה שאני משקרת אז זה מעצבן אותי","No","No","No","No","No","Yes","","3","3","3","3","4","3","1","3","2","1","2",
"01/20/2025 07:16PM","01/20/2025 07:20PM","01/20/2025 05:00PM - 01/20/2025 11:00PM",241.282,"2","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","6","5","1","2","5","2","2","5","6","4","3","אמרתי לאח שלי משהו והוא לא הקשיב לי","Yes","No","No","No","No","No","","4","5","3","5","6","1","3","2","6","2","1",
"01/21/2025 05:23PM","01/21/2025 05:26PM","01/21/2025 05:00PM - 01/21/2025 11:00PM",211.542,"3","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","3","5","1","3","2","1","5","5","6","1","3","חברה שלי התקשרה אליי באמצע שהכנתי מצגת והפריעה לי בעבודה😕","Yes","No","No","No","No","No","","2","2","6","5","6","2","5","3","5","2","3",
"01/22/2025 09:00PM","01/22/2025 09:03PM","01/22/2025 05:00PM - 01/22/2025 11:00PM",188.273,"4","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","2","6","1","3","2","3","5","3","5","1","3","שהייתי אמורה לעשות פעילות לכיתה א שנחשבת כיתה טובה ובסוף החליפו ועשינו לכיתה ה😕","No","No","No","No","No","Yes","","2","5","6","5","5","2","4","4","6","3","3",
"01/23/2025 05:45PM","01/23/2025 05:52PM","01/23/2025 05:00PM - 01/23/2025 11:00PM",450.342,"5","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","2","2","1","6","2","6","5","3","5","3","3","שאמא שלי כיבתה לי את המחשב ולא יכולתי להיות בו רק בגלל שאח שלי הצטרף אליי והיא לא מרשה לו","No","No","No","No","No","Yes","","2","4","5","5","6","2","5","3","6","2","3",
"01/26/2025 07:58PM","01/26/2025 08:01PM","01/26/2025 05:00PM - 01/26/2025 11:00PM",193.65,"8","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","3","3","2","6","6","5","5","3","3","3","3","שאח שלי הציק לי באמצע ששיחקתי במחשב","Yes","No","No","No","No","No","","3","3","5","5","4","2","5","2","3","2","3",
"01/27/2025 08:04PM","01/27/2025 08:06PM","01/27/2025 05:00PM - 01/27/2025 11:00PM",102.838,"9","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","3","5","2","5","2","5","3","3","2","5","3","שהייתי צריכה לעשות עבודה ואח שלי לא הביא לי את המחשב","Yes","No","No","No","No","No","","3","5","5","5","5","2","5","4","5","3","3",
"01/28/2025 05:32PM","01/28/2025 05:34PM","01/28/2025 05:00PM - 01/28/2025 11:00PM",137.887,"10","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","3","3","2","6","2","6","4","5","4","5","3","הייתי באמצע שיחת טלפון ואח שלי הפריע לי","Yes","No","No","No","No","No","","3","3","5","2","4","2","3","6","5","2","5",
"03/04/2025 07:03PM","03/04/2025 07:06PM","03/04/2025 05:00PM - 03/04/2025 11:00PM",179.295,"2","1","Finished","67c5e4e546dea88167de9b1b","0.0","0.0","no","-","2a02:14f:39a:2883:3d56:91a2:62a3:aea9","Participant 4","1","2","1","1","7","1","4","4","7","6","1","שילדים בכיתה שלי דיברו בזמן השיעור ","Yes","No","No","No","No","No","","1","4","5","3","4","5","4","4","5","5","3",
"03/05/2025 07:00PM","03/05/2025 07:02PM","03/05/2025 05:00PM - 03/05/2025 11:00PM",111.404,"3","1","Finished","67c5e4e546dea88167de9b1b","0.0","0.0","no","-","192.168.1.199","Participant 4","1","1","1","1","1","1","1","5","7","1","1","שילדים בבצפר שלי דיברו באמצע השיעור","Yes","No","No","No","No","No","","1","2","2","2","5","6","7","6","6","7","1",
"03/06/2025 05:00PM","03/06/2025 05:04PM","03/06/2025 05:00PM - 03/06/2025 11:00PM",232.329,"4","1","Finished","67c5e4e546dea88167de9b1b","0.0","0.0","no","-","2a02:14f:38a:111e:71fc:dc03:2a2b:8109","Participant 4","7","3","7","7","7","7","1","6","6","5","1","שממש רציתי לראות איזה הצגה בתערוכה ולא הספקתי ","Yes","No","No","No","No","No","","1","7","6","1","5","1","1","7","7","7","1",
"03/07/2025 05:00PM","03/07/2025 05:26PM","03/07/2025 05:00PM - 03/07/2025 11:00PM",1508.733,"5","1","Finished","67c5e4e546dea88167de9b1b","0.0","0.0","no","-","2a02:14f:393:5ee:8888:fd8e:e294:ebc2","Participant 4","1","1","1","1","1","1","1","5","1","1","1","שהאוטובוס לא הגיע ","No","No","No","No","No","Yes","","5","2","6","3","6","5","6","4","5","7","1",
"03/08/2025 07:27PM","03/08/2025 07:29PM","03/08/2025 05:00PM - 03/08/2025 11:00PM",124.336,"6","1","Finished","67c5e4e546dea88167de9b1b","0.0","0.0","no","-","2a02:14f:395:8fe8:89d1:5abf:444a:5e7a","Participant 4","1","1","1","1","1","1","1","5","1","1","1","שיש מחר בצפר ","No","No","No","No","No","Yes","","1","2","4","4","4","6","1","6","4","7","1",
"03/09/2025 07:00PM","03/09/2025 07:01PM","03/09/2025 05:00PM - 03/09/2025 11:00PM",92.049,"7","1","Finished","67c5e4e546dea88167de9b1b","0.0","0.0","no","-","192.168.1.199","Participant 4","4","1","1","1","1","1","1","4","7","1","1","שאני עייפה ","No","No","No","No","No","Yes","","1","1","1","2","2","1","2","5","7","4","1",
"03/10/2025 05:42PM","03/10/2025 05:44PM","03/10/2025 05:00PM - 03/10/2025 11:00PM",169.686,"2","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","2a02:14f:390:9776:cce9:60aa:add3:da39","Participant 5","1","5","1","1","1","1","2","7","5","1","1","אחד מהילדים בכיתה שלי","No","No","No","No","No","Yes","","1","1","1","5","6","1","1","1","2","1","1",
"03/11/2025 05:18PM","03/11/2025 05:20PM","03/11/2025 05:00PM - 03/11/2025 11:00PM",108.507,"3","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","10.100.102.100","Participant 5","1","5","1","3","1","1","3","7","7","5","3","שתי לידות שיקרו לי לפרצוף (בבירור) איזה חמש פעמים (סיפור ארוך)","No","No","No","No","No","Yes","","1","1","3","2","5","1","1","1","1","1","1",
"03/12/2025 05:21PM","03/12/2025 05:22PM","03/12/2025 05:00PM - 03/12/2025 11:00PM",74.943,"4","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","192.168.1.153","Participant 5","1","5","1","1","4","1","3","7","5","3","3","כלום","No","No","No","No","No","Yes","","1","1","1","1","5","1","1","1","1","1","1",
"03/13/2025 06:46PM","03/13/2025 06:48PM","03/13/2025 05:00PM - 03/13/2025 11:00PM",106.542,"5","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","10.100.102.100","Participant 5","5","5","1","1","4","1","5","7","5","6","5","כלום","No","No","No","No","No","Yes","","1","1","3","4","5","1","1","1","1","1","1",
"03/14/2025 07:15PM","03/14/2025 07:16PM","03/14/2025 05:00PM - 03/14/2025 11:00PM",81.391,"6","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","10.100.102.100","Participant 5","6","5","1","2","4","1","4","7","5","5","5","אח שלי","No","No","No","No","No","Yes","","1","1","2","1","6","1","1","1","1","1","1",
"03/15/2025 07:19PM","03/15/2025 07:21PM","03/15/2025 05:00PM - 03/15/2025 11:00PM",78.63,"7","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","2a02:14f:384:bc15:7878:47fd:8a8e:85b2","Participant 5","5","5","1","3","3","2","5","5","6","5","2","כלום","No","No","No","No","No","Yes","","1","1","2","1","6","1","1","1","1","1","1",
"03/17/2025 08:08PM","03/17/2025 08:10PM","03/17/2025 05:00PM - 03/17/2025 11:00PM",70.774,"9","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","2a02:14f:390:c8fe:c02:c738:7b57:bdb8","Participant 5","1","5","1","1","5","1","5","5","5","5","4","כלום","No","No","No","No","No","Yes","","1","1","1","1","5","1","1","1","1","1","1",
"03/16/2025 05:59PM","03/16/2025 06:01PM","03/16/2025 05:00PM - 03/16/2025 11:00PM",139.464,"2","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","192.168.1.59","Participant 6","7","4","2","5","1","3","6","5","2","5","5","שכמעט איחרתי לאימון כדורסל ","Yes","No","No","No","Yes","No","","1","5","2","3","6","1","3","2","3","6","5",
"03/17/2025 05:53PM","03/17/2025 05:55PM","03/17/2025 05:00PM - 03/17/2025 11:00PM",95.202,"3","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","192.168.1.59","Participant 6","2","2","1","1","1","1","5","6","6","3","5","שחברות לא יוצאות איתי לטיול בבית ספר","No","No","No","No","No","Yes","","1","1","1","1","7","1","2","2","2","5","2",
"03/18/2025 05:02PM","03/18/2025 05:03PM","03/18/2025 05:00PM - 03/18/2025 11:00PM",80.605,"4","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","10.179.208.169","Participant 6","2","3","1","1","2","1","6","7","5","7","5","היה קר","No","No","No","No","No","Yes","","1","3","2","3","6","5","2","1","2","5","5",
"03/19/2025 05:13PM","03/19/2025 05:16PM","03/19/2025 05:00PM - 03/19/2025 11:00PM",135.034,"5","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","192.168.1.59","Participant 6","5","4","1","1","1","1","7","7","7","7","5","הלכנו מלא בטיול","No","No","No","No","No","Yes","","1","2","2","3","6","1","3","2","1","5","3",
"03/20/2025 06:17PM","03/20/2025 06:19PM","03/20/2025 05:00PM - 03/20/2025 11:00PM",123.007,"6","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","10.161.233.242","Participant 6","7","2","1","6","1","1","6","5","6","7","4","נתנו לי מכות באימון כדורסל ","Yes","No","No","No","Yes","No","שמרתי טוב יותר במכות","6","6","3","5","3","3","2","1","1","6","5",
"03/23/2025 06:51PM","03/23/2025 06:53PM","03/23/2025 05:00PM - 03/23/2025 11:00PM",117.893,"9","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","10.163.26.171","Participant 6","2","1","1","6","5","5","3","3","3","6","2","במשחק כדורסל הרביצו לי","Yes","No","No","No","No","No","","7","6","1","2","3","1","1","1","1","5","5",
"03/24/2025 06:20PM","03/24/2025 06:22PM","03/24/2025 05:00PM - 03/24/2025 11:00PM",94.521,"10","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","192.168.1.59","Participant 6","5","1","1","2","1","2","6","5","5","7","2","הילדים הפריעו בשיעור ","Yes","No","No","No","Yes","No","","2","6","1","5","7","1","3","1","2","6","5",
"03/23/2025 07:10PM","03/23/2025 07:14PM","03/23/2025 05:00PM - 03/23/2025 11:00PM",258.564,"2","1","Finished","67dc2c2a4a8aee02c0105b94","0.0","0.0","no","-","192.168.0.208","Participant 7","2","4","1","1","1","1","5","5","5","5","2","משהו בסדרה שראיתי","No","No","No","No","No","Yes","","1","1","1","2","3","1","1","4","1","1","2",
"03/25/2025 05:00PM","03/25/2025 05:02PM","03/25/2025 05:00PM - 03/25/2025 11:00PM",142.24,"4","1","Finished","67dc2c2a4a8aee02c0105b94","0.0","0.0","no","-","192.168.0.208","Participant 7","5","5","1","2","2","2","5","4","6","5","5","ילד בבית ספר","No","No","No","No","No","Yes","","1","4","1","1","5","1","1","2","1","1","2",
"03/26/2025 07:04PM","03/26/2025 07:06PM","03/26/2025 05:00PM - 03/26/2025 11:00PM",126.807,"5","1","Finished","67dc2c2a4a8aee02c0105b94","0.0","0.0","no","-","2001:40a8:745:8b93:d170:ffb1:2310:db8a","Participant 7","5","5","1","1","2","1","5","5","5","5","5","מורה","No","No","No","No","No","Yes","","1","1","1","1","5","2","1","1","1","2","1",
"03/27/2025 10:51PM","03/27/2025 10:54PM","03/27/2025 05:00PM - 03/27/2025 11:00PM",155.363,"6","1","Finished","67dc2c2a4a8aee02c0105b94","0.0","0.0","no","-","192.168.0.208","Participant 7","3","5","1","2","2","2","5","5","5","5","3","ילד בכיתה","No","No","No","No","No","Yes","","2","2","2","2","5","1","2","1","1","2","2",
"03/31/2025 09:11PM","03/31/2025 09:18PM","03/31/2025 05:00PM - 03/31/2025 11:00PM",404.499,"2","1","Finished","67d2db32c1ae9946c573c2fc",,,"no","-","10.0.0.11","Participant 8","1","1","1","2","1","1","1","3","1","5","2","למדתי למבחן ולא הפסיקו להסיח את דעתי","No","No","No","No","No","Yes","","1","2","5","2","3","1","1","5","3","3","1",
"04/01/2025 07:39PM","04/01/2025 07:43PM","04/01/2025 05:00PM - 04/01/2025 11:00PM",244.148,"3","1","Finished","67d2db32c1ae9946c573c2fc",,,"no","-","10.0.0.11","Participant 8","5","2","1","2","2","1","3","6","5","6","2","האינטרנט היה איטי כשניסיתי למצוא משהו ","No","No","No","No","No","Yes","","2","2","3","1","4","2","1","3","6","2","1",
"04/02/2025 08:52PM","04/02/2025 11:25PM","04/02/2025 05:00PM - 04/02/2025 11:00PM",9191.021,"4","1","Auto Submitted","67d2db32c1ae9946c573c2fc",,,"no","-","10.0.0.11","Participant 8","6","5","1","2","2","3","5","6","5","7","5","להיות בקניון","No","No","No","No","No","Yes","","2","2","2","5","3","5","2","3","3","1","2",
"04/03/2025 09:41PM","04/03/2025 09:43PM","04/03/2025 05:00PM - 04/03/2025 11:00PM",161.66,"5","1","Finished","67d2db32c1ae9946c573c2fc",,,"no","-","10.0.0.11","Participant 8","3","2","1","3","1","2","3","4","4","6","2","אח שלי אוכל ברעש","No","No","No","No","No","Yes","","1","1","2","2","3","2","1","3","4","4","1",
"04/06/2025 07:01PM","04/06/2025 07:04PM","04/06/2025 05:00PM - 04/06/2025 11:00PM",183.139,"8","1","Finished","67d2db32c1ae9946c573c2fc",,,"no","-","10.0.0.11","Participant 8","3","2","2","3","1","1","2","6","4","2","4","המוזיקה שמגיעה מהחדר של אח שלי","No","No","No","No","No","Yes","","2","3","2","1","4","1","1","2","4","3","1",
"04/07/2025 08:21PM","04/07/2025 08:25PM","04/07/2025 05:00PM - 04/07/2025 11:00PM",235.794,"9","1","Finished","67d2db32c1ae9946c573c2fc",,,"no","-","100.81.184.236","Participant 8","5","4","1","2","2","2","2","5","2","3","2","הייתי צריכה להעביר חלק גדול מהיום בנסיעה ברכבת","No","No","No","No","No","Yes","","2","2","3","2","4","1","2","2","4","3","1",
"04/08/2025 05:38PM","04/08/2025 05:40PM","04/08/2025 05:00PM - 04/08/2025 11:00PM",153.887,"10","1","Finished","67d2db32c1ae9946c573c2fc",,,"no","-","100.81.184.236","Participant 8","4","3","1","3","1","2","3","5","2","4","2","לא היה משהו שבאמת עצבן אותי","No","No","No","No","No","Yes","","2","2","2","1","5","1","2","2","3","3","2",
"05/06/2025 07:36PM","05/06/2025 07:38PM","05/06/2025 05:00PM - 05/06/2025 11:00PM",143.405,"2","1","Finished","680bcc1f5a3f3054a02e09db","0.0","0.0","no","-","10.0.0.14","Participant 9","1","2","1","1","1","1","1","7","1","4","7","לא עצבן אותי כלום","No","No","No","No","No","Yes","","1","1","1","1","7","1","1","1","1","1","1",
"05/07/2025 07:13PM","05/07/2025 07:15PM","05/07/2025 05:00PM - 05/07/2025 11:00PM",109.762,"3","1","Finished","680bcc1f5a3f3054a02e09db","0.0","0.0","no","-","10.0.0.14","Participant 9","1","2","1","1","1","1","1","7","2","3","7","לא עצבן אותי כלום","No","No","No","No","No","Yes","","1","1","1","1","7","1","1","1","2","3","1",
