,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","Question 3","Question 4","{{Q://Q5/ChoiceTextEntryValue}}","Question 6","Question 7","{{Q://Q8/ChoiceTextEntryValue}}.1","{{Q://Q8/ChoiceTextEntryValue}}.2","{{Q://Q8/ChoiceTextEntryValue}}.3","{{Q://Q8/ChoiceTextEntryValue}}.4","{{Q://Q8/ChoiceTextEntryValue}}.5","{{Q://Q8/ChoiceTextEntryValue}}.6","{{Q://Q8/ChoiceTextEntryValue}}.7","Question 9","Question 10","Question 11","Question 12","Question 13","Question 14","Question 15","Question 16","Question 17","Question 18","Question 19","Question 20","Question 21"
"01/13/2025 07:03AM","01/13/2025 07:05AM","01/13/2025 07:00AM - 01/13/2025 11:00AM",100.399,"3","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","2a00:a041:5b9f:fc00::1005","Participant 2","1","1","5","1","אני לא מרגישה טוב וכל פעם עושה אפצ׳י ","1","1","No","No","No","No","No","Yes","","2","2","1","1","1","4","6","5","1","1","5","4","4"
"01/14/2025 07:00AM","01/14/2025 07:02AM","01/14/2025 07:00AM - 01/14/2025 11:00AM",87.111,"4","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","2a00:a041:5b9f:fc00::1005","Participant 2","1","1","6","5","אני לא מרגישה טוב ","1","3","No","No","No","No","No","Yes","","5","2","2","1","1","4","5","5","1","1","5","2","2"
"01/15/2025 07:00AM","01/15/2025 07:01AM","01/15/2025 07:00AM - 01/15/2025 11:00AM",77.82,"5","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","192.168.1.56","Participant 2","3","1","5","2","כלום","1","3","No","No","No","No","No","Yes","","1","2","2","1","1","4","5","7","1","1","7","3","7"
"01/16/2025 07:13AM","01/16/2025 07:14AM","01/16/2025 07:00AM - 01/16/2025 11:00AM",80.161,"6","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","192.168.1.56","Participant 2","2","1","5","1","כלום","1","4","No","No","No","No","No","Yes","","1","1","1","5","1","1","1","2","1","4","1","1","3"
"01/19/2025 07:00AM","01/19/2025 07:01AM","01/19/2025 07:00AM - 01/19/2025 11:00AM",68.262,"9","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","2a00:a041:5b9f:fc00::1005","Participant 2","3","1","1","1","כלום","1","4","No","No","No","No","No","Yes","","1","1","1","3","1","1","1","2","1","3","1","4","7"
"01/20/2025 07:01AM","01/20/2025 07:02AM","01/20/2025 07:00AM - 01/20/2025 11:00AM",92.423,"10","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","2a00:a041:5b9f:fc00::1005","Participant 2","1","1","7","5","כואב לי בשיינים","1","5","No","No","No","No","No","Yes","","1","1","3","1","1","1","4","1","1","2","5","3","7"
"01/20/2025 07:28AM","01/20/2025 07:32AM","01/20/2025 07:00AM - 01/20/2025 11:00AM",211.92,"2","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","4","1","6","5","שהשעון המעורר שלי לא צילצל","6","3","No","No","No","No","No","Yes","","4","2","3","2","1","2","1","2","1","1","2","6","6"
"01/21/2025 07:29AM","01/21/2025 07:31AM","01/21/2025 07:00AM - 01/21/2025 11:00AM",130.599,"3","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","3","2","3","6","אין משהו שעיצבן אותי היום..","1","2","No","No","No","No","No","Yes","","2","5","3","1","2","1","3","5","1","2","5","5","6"
"01/22/2025 08:44AM","01/22/2025 08:46AM","01/22/2025 07:00AM - 01/22/2025 11:00AM",145.259,"4","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","2","2","6","6","אין🤷‍♀️","2","5","No","No","No","No","No","Yes","","3","6","2","2","2","2","1","5","1","3","2","2","6"
"01/23/2025 07:49AM","01/23/2025 07:51AM","01/23/2025 07:00AM - 01/23/2025 11:00AM",110.658,"5","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","1","1","2","6","אח שלי","1","2","No","No","No","No","No","Yes","","3","6","2","1","2","2","2","3","1","2","1","3","6"
"01/26/2025 07:36AM","01/26/2025 07:39AM","01/26/2025 07:00AM - 01/26/2025 11:00AM",175.749,"8","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","3","2","6","5","שאחותי נכנסה לחדר שלי ובילגנה לי דברים","4","3","Yes","No","No","No","No","No","","5","3","5","5","3","3","5","5","1","5","5","5","5"
"01/27/2025 07:44AM","01/27/2025 07:46AM","01/27/2025 07:00AM - 01/27/2025 11:00AM",87.264,"9","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","5","2","3","6","אין","2","6","No","No","No","No","No","Yes","","2","3","5","5","2","2","3","2","2","4","2","3","5"
"01/28/2025 07:28AM","01/28/2025 07:31AM","01/28/2025 07:00AM - 01/28/2025 11:00AM",133.675,"10","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","3","3","6","6","שאני אאחר לביה""ס🫣","5","3","No","No","No","No","No","Yes","","4","4","3","3","3","3","3","3","2","5","2","2","5"
"03/04/2025 08:31AM","03/04/2025 08:34AM","03/04/2025 07:00AM - 03/04/2025 11:00AM",196.85,"2","1","Finished","67c5e4e546dea88167de9b1b","0.0","0.0","no","-","2a02:14f:380:b262:880d:3bfb:4cc5:5702","Participant 4","2","4","6","3","שהייתי צריכה להתעורר לבצפר ","5","4","No","No","No","No","No","Yes","","1","3","4","1","1","4","2","6","1","1","1","2","4"
"03/05/2025 08:22AM","03/05/2025 08:24AM","03/05/2025 07:00AM - 03/05/2025 11:00AM",117.338,"3","1","Finished","67c5e4e546dea88167de9b1b","0.0","0.0","no","-","2a02:14f:39a:2883:3d56:91a2:62a3:aea9","Participant 4","1","5","5","6","שהאוטובוס לא עצר ","5","5","Yes","No","No","No","No","No","","1","3","1","1","6","1","5","6","1","5","1","1","4"
"03/07/2025 09:00AM","03/07/2025 09:03AM","03/07/2025 07:00AM - 03/07/2025 11:00AM",155.775,"5","1","Finished","67c5e4e546dea88167de9b1b","0.0","0.0","no","-","192.168.1.199","Participant 4","1","2","6","6","האוטובוס ממש עיצבן אותי ","5","1","No","No","No","No","No","Yes","","3","5","5","1","1","1","2","5","1","6","2","2","4"
"03/08/2025 09:00AM","03/08/2025 09:02AM","03/08/2025 07:00AM - 03/08/2025 11:00AM",92.735,"6","1","Finished","67c5e4e546dea88167de9b1b","0.0","0.0","no","-","2a02:14f:383:7158:5d09:9339:19d6:fda9","Participant 4","1","7","3","5","שהייתי צריכה להתעורר בבוקר ","5","5","No","No","No","No","No","Yes","","2","6","5","1","1","1","1","1","1","1","1","5","5"
"03/10/2025 09:01AM","03/10/2025 09:03AM","03/10/2025 07:00AM - 03/10/2025 11:00AM",99.319,"8","1","Finished","67c5e4e546dea88167de9b1b","0.0","0.0","no","-","2a02:14f:395:8fe8:89d1:5abf:444a:5e7a","Participant 4","1","6","6","2","שאני מאחרת לבצפר ","3","5","No","No","No","No","No","Yes","","5","6","4","7","6","1","1","4","6","7","1","1","4"
"03/10/2025 07:00AM","03/10/2025 07:02AM","03/10/2025 07:00AM - 03/10/2025 11:00AM",133.465,"2","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","10.100.102.100","Participant 5","1","1","1","1","כלום?","2","1","No","No","No","No","No","Yes","","1","1","1","1","3","4","5","4","1","1","5","1","4"
"03/11/2025 07:00AM","03/11/2025 07:02AM","03/11/2025 07:00AM - 03/11/2025 11:00AM",114.156,"3","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","192.168.1.153","Participant 5","2","1","1","2","כלום","1","1","No","No","No","No","No","Yes","","1","1","1","1","5","3","2","6","1","1","1","4","3"
"03/12/2025 07:00AM","03/12/2025 07:01AM","03/12/2025 07:00AM - 03/12/2025 11:00AM",92.048,"4","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","10.100.102.100","Participant 5","1","1","1","1","כלום","1","1","No","No","No","No","No","Yes","","1","1","1","1","3","3","4","5","1","1","5","3","5"
"03/13/2025 07:34AM","03/13/2025 07:36AM","03/13/2025 07:00AM - 03/13/2025 11:00AM",133.438,"5","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","192.168.1.153","Participant 5","1","1","5","1","כלום","1","1","No","No","No","No","No","Yes","","1","1","1","1","4","5","3","7","1","1","5","6","1"
"03/14/2025 08:52AM","03/14/2025 08:54AM","03/14/2025 07:00AM - 03/14/2025 11:00AM",80.874,"6","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","10.100.102.100","Participant 5","1","1","1","1","כלום","1","1","No","No","No","No","No","Yes","","1","1","1","1","4","4","4","6","1","1","5","1","6"
"03/15/2025 09:00AM","03/15/2025 09:01AM","03/15/2025 07:00AM - 03/15/2025 11:00AM",68.763,"7","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","10.100.102.100","Participant 5","1","1","1","1","כלום","1","1","No","No","No","No","No","Yes","","1","1","1","1","4","4","4","5","1","1","3","1","5"
"03/16/2025 07:19AM","03/16/2025 07:21AM","03/16/2025 07:00AM - 03/16/2025 11:00AM",78.564,"8","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","2a02:14f:388:298e:61b6:60d0:3fd7:5e98","Participant 5","1","1","1","1","כלום","1","1","No","No","No","No","No","Yes","","1","1","1","1","5","5","6","5","1","1","5","1","6"
"03/17/2025 07:10AM","03/17/2025 07:12AM","03/17/2025 07:00AM - 03/17/2025 11:00AM",90.347,"9","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","10.100.102.100","Participant 5","1","2","1","1","אני צריכה ללכת לבדיקת דם לפני התחרות דיבייט שלי (רק יומיים בשנה, התחרות הראשונה שלי)","5","3","No","No","No","No","No","Yes","","1","1","1","1","5","5","5","1","1","1","5","1","7"
"03/16/2025 07:52AM","03/16/2025 07:55AM","03/16/2025 07:00AM - 03/16/2025 11:00AM",168.522,"2","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","192.168.1.59","Participant 6","5","6","1","5","שהייתי צריכה לקום מוקדם","3","1","No","No","No","No","No","Yes","","1","2","2","1","1","5","7","7","1","2","5","1","6"
"03/17/2025 07:18AM","03/17/2025 07:20AM","03/17/2025 07:00AM - 03/17/2025 11:00AM",95.344,"3","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","192.168.1.59","Participant 6","3","5","2","2","שיש יום ממש קצר בבית ספר ואז משתעממים בבית ","2","1","No","No","No","No","No","Yes","","1","1","1","1","1","3","6","6","1","1","2","1","6"
"03/18/2025 07:02AM","03/18/2025 07:03AM","03/18/2025 07:00AM - 03/18/2025 11:00AM",93.727,"4","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","10.163.124.248","Participant 6","1","6","1","3","שאני יוצאת לטיול שנתי ואין מקום בתיק","2","1","No","No","No","No","No","Yes","","1","5","5","1","2","6","6","6","1","1","1","1","5"
"03/19/2025 07:03AM","03/19/2025 07:04AM","03/19/2025 07:00AM - 03/19/2025 11:00AM",80.865,"5","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","10.89.94.138","Participant 6","2","5","2","1","לא הצלחתי להירדם בלילה","5","7","No","No","No","No","No","Yes","","4","6","2","1","1","5","7","7","1","1","5","5","6"
"03/20/2025 09:05AM","03/20/2025 09:08AM","03/20/2025 07:00AM - 03/20/2025 11:00AM",168.897,"6","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","10.177.206.132","Participant 6","5","5","1","1","אף אחת לא באה לבית ספר ומשעמם בבית","1","1","Yes","No","No","No","No","No","","1","2","1","1","1","5","5","6","1","1","6","2","7"
"03/23/2025 08:33AM","03/23/2025 08:34AM","03/23/2025 07:00AM - 03/23/2025 11:00AM",60.617,"9","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","10.139.55.204","Participant 6","5","6","2","1","הבנות באימון","6","2","Yes","No","No","No","Yes","No","","1","3","2","4","1","5","6","5","2","3","3","2","6"
"03/24/2025 07:02AM","03/24/2025 07:03AM","03/24/2025 07:00AM - 03/24/2025 11:00AM",73.715,"10","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","192.168.255.253","Participant 6","2","5","1","1","שקמתי מוקדם בבוקר","5","2","Yes","No","No","No","No","No","","1","1","2","5","1","1","6","3","1","6","2","2","6"
"03/23/2025 07:36AM","03/23/2025 07:41AM","03/23/2025 07:00AM - 03/23/2025 11:00AM",329.318,"2","1","Finished","67dc2c2a4a8aee02c0105b94","0.0","0.0","no","-","192.168.0.208","Participant 7","1","2","6","4","‏האזעקה שהעירה אותי","1","4","No","No","No","No","No","Yes","","4","5","5","2","4","2","5","5","1","2","5","2","2"
"03/24/2025 09:01AM","03/24/2025 09:11AM","03/24/2025 07:00AM - 03/24/2025 11:00AM",605.343,"3","1","Finished","67dc2c2a4a8aee02c0105b94","0.0","0.0","no","-","172.160.25.19","Participant 7","1","2","5","2","בית הספר","1","1","No","No","No","No","No","Yes","","1","2","1","2","2","2","5","5","1","2","3","2","5"
"03/25/2025 10:12AM","03/25/2025 10:16AM","03/25/2025 07:00AM - 03/25/2025 11:00AM",243.546,"4","1","Finished","67dc2c2a4a8aee02c0105b94","0.0","0.0","no","-","172.160.25.19","Participant 7","2","2","2","2","ילד בבית ספר","2","2","No","No","No","No","No","Yes","","5","2","1","2","2","2","5","5","1","2","5","2","5"
"03/31/2025 08:26AM","03/31/2025 08:29AM","03/31/2025 07:00AM - 03/31/2025 11:00AM",201.636,"2","1","Finished","67d2db32c1ae9946c573c2fc",,,"no","-","100.106.210.105","Participant 8","1","4","1","3","אני אאחר לבית ספר ","2","2","No","No","No","No","No","Yes","","1","2","1","2","2","3","1","5","1","2","3","2","3"
"04/01/2025 08:13AM","04/01/2025 08:16AM","04/01/2025 07:00AM - 04/01/2025 11:00AM",175.03,"3","1","Finished","67d2db32c1ae9946c573c2fc",,,"no","-","10.29.246.53","Participant 8","1","1","5","1","לא היה משהו שעצבן אותי- ישנתי","1","2","No","No","No","No","No","Yes","","4","2","3","1","1","1","3","4","1","1","1","2","2"
"04/02/2025 07:54AM","04/02/2025 07:56AM","04/02/2025 07:00AM - 04/02/2025 11:00AM",134.765,"4","1","Finished","67d2db32c1ae9946c573c2fc",,,"no","-","100.73.83.186","Participant 8","1","4","2","5","אחותי התגרתה בי","3","3","No","No","No","No","No","Yes","","2","2","2","1","1","2","4","6","1","3","4","2","4"
"05/06/2025 07:05AM","05/06/2025 07:08AM","05/06/2025 07:00AM - 05/06/2025 11:00AM",190.985,"2","1","Finished","680bcc1f5a3f3054a02e09db","0.0","0.0","no","-","10.0.0.14","Participant 9","2","1","2","2","לא התעצבנתי","1","1","No","No","No","No","No","Yes","","1","1","1","1","1","5","1","7","1","1","1","1","7"
"05/07/2025 07:02AM","05/07/2025 07:05AM","05/07/2025 07:00AM - 05/07/2025 11:00AM",148.362,"3","1","Finished","680bcc1f5a3f3054a02e09db","0.0","0.0","no","-","2a06:c701:4abd:5b00:f1ee:8d80:fdb2:4efe","Participant 9","1","2","1","3","שום דבר לא עצבן אותי ","1","1","No","No","No","No","No","Yes","","1","1","1","1","1","7","2","7","1","1","2","1","7"
"05/09/2025 08:06AM","05/09/2025 08:08AM","05/09/2025 07:00AM - 05/09/2025 11:00AM",135.849,"5","1","Finished","680bcc1f5a3f3054a02e09db","0.0","0.0","no","-","10.0.0.14","Participant 9","1","4","2","2","לא עצבן אותי כלום","2","4","No","No","No","No","No","Yes","","1","3","2","1","1","7","2","7","1","1","2","4","5"
"05/10/2025 09:15AM","05/10/2025 09:17AM","05/10/2025 07:00AM - 05/10/2025 11:00AM",113.114,"6","1","Finished","680bcc1f5a3f3054a02e09db","0.0","0.0","no","-","10.0.0.14","Participant 9","1","4","1","3","כלום לא עיצבן אותי","2","2","No","No","No","No","No","Yes","","1","1","1","1","2","7","1","7","1","1","4","2","7"
"05/11/2025 07:21AM","05/11/2025 07:23AM","05/11/2025 07:00AM - 05/11/2025 11:00AM",93.175,"7","1","Finished","680bcc1f5a3f3054a02e09db","0.0","0.0","no","-","2a06:c701:4a8f:a100:61a3:5950:7840:d590","Participant 9","1","4","2","2","שקמתי בבוקר עייפה כי לא הצלחתי להירדם בלילה","2","2","No","No","No","No","No","Yes","","2","2","2","1","1","7","1","7","1","2","3","3","6"
"05/12/2025 07:27AM","05/12/2025 07:29AM","05/12/2025 07:00AM - 05/12/2025 11:00AM",103.048,"8","1","Finished","680bcc1f5a3f3054a02e09db","0.0","0.0","no","-","2a06:c701:4a8f:a100:2caf:9880:5b3c:ae6e","Participant 9","1","2","2","3","כלום לא עצבן אותי","1","1","No","No","No","No","No","Yes","","2","4","2","1","1","5","1","5","1","1","2","2","6"
"05/13/2025 07:03AM","05/13/2025 07:05AM","05/13/2025 07:00AM - 05/13/2025 11:00AM",107.694,"9","1","Finished","680bcc1f5a3f3054a02e09db","0.0","0.0","no","-","2a06:c701:4a8f:a100:855b:13e5:7885:227","Participant 9","1","5","2","2","כלום לא עיצבן אותי","1","2","No","No","No","No","No","Yes","","1","1","1","1","2","7","2","7","1","1","4","1","5"
