Participant ID,participant_code,Parent/Children,Day of experiment,text
67e922bc8cd70bc4d874ae9f,#7454,Children,2,קיללתי את אח שלי
67fd190ca36094aa3abd746e,#7468,Children,2,בכיתי
67fd190ca36094aa3abd746e,#7468,Children,3,בכיתי
67fd190ca36094aa3abd746e,#7468,Children,4,התלוננתי לאמא
67fd190ca36094aa3abd746e,#7468,Children,5,הייתה אי הבנה עם חברות שלי אז אני עוד שלוש בנות התעצבנו עליהן שהן לא יכולות לשחק בלי לריב
67fd190ca36094aa3abd746e,#7468,Children,6,כעסתי ממש כי רציתי לישון אצל חברה ביום שישי ואף אחת לא יכולה אז התעצבנתי אבל לא הראיתי את הכעס שלי אז אפשר להגיד שכעסתי בלב
67fd190ca36094aa3abd746e,#7468,Children,7,התווכחתי
680a5410bfb1db72cb906821,#7490,Children,7,התלוננתי והתבכיינתי
680a5410bfb1db72cb906821,#7490,Children,7,התעצבנתי ועזבתי את המקום
681b14b207710cff0ab7d8e6,#7496,Children,1,ניתקתי שיחה בטלפון
681b14b207710cff0ab7d8e6,#7496,Children,5,דיברתי קצת בקול רעם
681b14b207710cff0ab7d8e6,#7496,Children,7,התעצבנתי
681f7ac874c048e933376c9c,#7504,Children,1,הלכתי לחדר בכעס
681f7ac874c048e933376c9c,#7504,Children,4,בלב
682b653535b7c8e896a76f5a,#7526,Children,1,לא היתפרצתי אני הפסקתי לנסות
682b653535b7c8e896a76f5a,#7526,Children,2,אני כעסתי והעברתי מאוד על אבא שלי אבל לא אמרתי כלום
682b653535b7c8e896a76f5a,#7526,Children,2,שתקתי כרגיל
682b653535b7c8e896a76f5a,#7526,Children,3,התנהגתי לא יפה כלפי אמא שלי
682b653535b7c8e896a76f5a,#7526,Children,6,אמרתי בקול לילדים להפסיק כשהם עיצבנו אותי
67d1e5bac1ae9946c56a198a,#7404,Children,5,שמרתי טוב יותר במכות
67484de67c2f821e9bbc3e5d,#7303,Parent,5,מלמל משהו שלא הבנתי
67489ff0cc103e20a98584c7,#7315,Parent,2,דיבר בחוסר סבלנות לאח הקטן שלו
67489ff0cc103e20a98584c7,#7315,Parent,3,"קצת הרים קול במהלך המשחק באפליקציה, משהו מאוד רגעי"
67489ff0cc103e20a98584c7,#7315,Parent,4,"היה מתוסכל מהמשחק של סטופ איט - התנדנד בזמן שישב ושיחק, ואומר משפטים כמו ״דיי״"
67489ff0cc103e20a98584c7,#7315,Parent,7,"דוד סיפר על עניין מסוים בבית הספר והאח הקטן שלו (בן 7) שאל שאלות ודוד התלם מהן ולא הסביר לא בשפה מותאמת לגילו. ביקשתי לעצור ולנסות להסביר באופן יותר ברור לאח, אבל דוד היה חסר סבלנות ובחר לא לעשות זאת"
674755637c2f821e9bb51e03,#7317,Parent,1,הרים קול על אחותה
674755637c2f821e9bb51e03,#7317,Parent,1,נעלה את הדלת
674755637c2f821e9bb51e03,#7317,Parent,2,רצתה לקצר את הזמן שהייתה במקהלה
67682d629e4c11f7e1e4cc54,#7325,Parent,5,קילל
677c148f92b3eb66e2131c3d,#7329,Parent,1,הייתה עצבנית
677c148f92b3eb66e2131c3d,#7329,Parent,3,אף אחד מאלה
678cacb058adab1eb9339418,#7331,Parent,3,דיברה לא יפה. חזרה עייפה מבית ספר ולא היה כוח לדיבןרים באוטו
678cacb058adab1eb9339418,#7331,Parent,4,כעסה שלא קנו מה שרצתה
6761a6958b60efe498aced4c,#7335,Parent,4,התעצבנה על אח שלה
67ae2f2458056d402b063b3a,#7371,Parent,2,בכתה
679e52f8c4a32d74c085916e,#7373,Parent,1,לא התפרצה בכעס
67c85da046dea88167fb04fe,#7377,Parent,6,"רטן לעצמו בכל רם, כלומר התעצבן בצורה קולנית אבל כשהוא היה לבד בחדר והיה אפשר לשמוע את זה רק מבחוץ"
67c85da046dea88167fb04fe,#7377,Parent,6,תלונות קולניות
67a8d7ce93e9af3878060a8d,#7379,Parent,1,רגועה
67a8d7ce93e9af3878060a8d,#7379,Parent,1,דיברה בכעס מתון
67d2b5eec1ae9946c571fbea,#7405,Parent,1,רקיעות ברגליים
67cd6f0746dea881672a2924,#7407,Parent,1,היתה מתוסכלת
67cd6f0746dea881672a2924,#7407,Parent,2,ישנה
67cd6f0746dea881672a2924,#7407,Parent,5,רומי היום אצל אבא שלה
67d0609346dea881674ad2a7,#7411,Parent,1,ניסה להסביר בתקיפות את דעתו והפסיק לענות
67d0609346dea881674ad2a7,#7411,Parent,3,רטן
67d1a711c1ae9946c56663fa,#7427,Parent,1,הציקה לאח הצעיר שלה
67e514edc80a48857d087ce5,#7435,Parent,2,התפרץ קצת על אחותה
67e514edc80a48857d087ce5,#7435,Parent,6,הציק לאחותה
67e514edc80a48857d087ce5,#7435,Parent,7,קצת כעס
67d84b8ec1ae9946c5b95113,#7441,Parent,4,התעצבן וצעק
67e569658cd70bc4d83b0f9a,#7443,Parent,2,קם מהשולחן ולא רצה לחזור
67e569658cd70bc4d83b0f9a,#7443,Parent,3,בכה מעייפות ומתח
67e50a4ec80a48857d0823d9,#7445,Parent,7,התחצף
67e922578cd70bc4d874ad24,#7453,Parent,3,מלמלה בזעם שקט
67e922578cd70bc4d874ad24,#7453,Parent,3,דיברה בכעס
67e922578cd70bc4d874ad24,#7453,Parent,4,דיברה בכעס
67e922578cd70bc4d874ad24,#7453,Parent,5,בכתה
68050b0c3df92472ed35487b,#7457,Parent,1,בכתה
67f2aed58ee40dc60e0f1371,#7459,Parent,5,"לא צעק, הלך לחדר שלו ואמר שעצבנו אותו"
6819d58307710cff0aadf07d,#7461,Parent,4,תוך כדי ויכוח מי צריכה לסדר מה - פשוט דיברה על זה בנימה של עצבים קלים/היעלבות
680f69f65a3f3054a04f76c1,#7469,Parent,1,לא הייתי איתה פיזית רק דיברנו בטלפון לכן אני לא יודעת
67f6b48ba36094aa3a7770e9,#7475,Parent,1,מרים קול וחובט באויר כי לא מסכימים איתו
67f6b48ba36094aa3a7770e9,#7475,Parent,3,"הגיב בתסכול, אוף כזה"
67f6b48ba36094aa3a7770e9,#7475,Parent,4,הגיב בתגובות של תסכול
6805ef0f3df92472ed3f59b3,#7479,Parent,1,קיללה את המורה
680531513df92472ed37bc24,#7481,Parent,1,לא התעצבנה
68054cde3df92472ed394a92,#7485,Parent,3,ועזבה את המטבח
680e42af5a3f3054a04516eb,#7491,Parent,3,.
680e42af5a3f3054a04516eb,#7491,Parent,5,"ביקש לקנות משהו, שאל לדעתי וכשאמרתי לו שבעיני זה לא יפה- כעס ואז אמר שמשהו דומה שקניתי לו בכלל לא מצא חן בעיניו. וזה נמצא בחדר שלו עדיין …"
68088f8008fd725220646a24,#7495,Parent,1,ניתקה לי את הטלפון
68088f8008fd725220646a24,#7495,Parent,2,היתה כעוסה
68088f8008fd725220646a24,#7495,Parent,7,דיברה לא בנימוס
68088f8008fd725220646a24,#7495,Parent,7,התחצפה
681f7c9074c048e9333777e8,#7503,Parent,1,הרימה קצת את הקול
681f7c9074c048e9333777e8,#7503,Parent,3,קיללה
681f7c9074c048e9333777e8,#7503,Parent,5,התווכחה
680b6c725a3f3054a0285112,#7507,Parent,7,מקלל כל הזמן - צריך להוסיף לאפשרויות
682b155135b7c8e896a1aefc,#7525,Parent,4,היתה יותר קצרה (חסרת סבלנות) בתשובות שלה.
6751bd8cb57ffed03cf193fd,#7307,Parent,1,התחצפה לא הקשיבה
6751bd8cb57ffed03cf193fd,#7307,Parent,2,בכתה
6751bd8cb57ffed03cf193fd,#7307,Parent,4,דברה לא יפה לאבא שלה התחצפה
6751bd8cb57ffed03cf193fd,#7307,Parent,5,בתי התעלמה ממני ולא ענתה שבעקשתי ממנה עזרה
6751bd8cb57ffed03cf193fd,#7307,Parent,5,בכתה
677e294c92b3eb66e21ad167,#7319,Parent,3,בדרך כלל היא לא מביעה כעס בעוצמה מוגזמת מידי
677e294c92b3eb66e21ad167,#7319,Parent,7,הייתה פגועה ממה שהמורה אמרה לה
675f117733abebd908b4740a,#7321,Parent,1,כלום
675f117733abebd908b4740a,#7321,Parent,1,לא עשה דבר מהכתוב
675f117733abebd908b4740a,#7321,Parent,2,לא התפרץ
678fd7bd37a19c21a4c25e6a,#7355,Parent,3,העירה לאח שלה על איך שהיא אוכל ועצבנה את כולם
67c5da3d46dea88167de0108,#7397,Parent,2,השתיקה את אחיה בגסות ודיברה על התסכול שלה בגסות והאשימה במילים אותי
67dc2d364a8aee02c01067f3,#7399,Parent,2,דיברה בחוסר סבלנות ורוגז
67dc2d364a8aee02c01067f3,#7399,Parent,6,דיברה בטון כועס ועצבני
67d1e5adc1ae9946c56a193f,#7403,Parent,2,כעסה
67d1e5adc1ae9946c56a193f,#7403,Parent,4,בכתה
