,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","Question 3","{{Q://Q4/ChoiceTextEntryValue}}","{{Q://Q5/ChoiceTextEntryValue}}.1","{{Q://Q5/ChoiceTextEntryValue}}.2","{{Q://Q5/ChoiceTextEntryValue}}.3","{{Q://Q5/ChoiceTextEntryValue}}.4","{{Q://Q5/ChoiceTextEntryValue}}.5","{{Q://Q5/ChoiceTextEntryValue}}.6","{{Q://Q5/ChoiceTextEntryValue}}.7","Question 6","Question 7","Question 8","Question 9","Question 10","Question 11","Question 12","Question 13","Question 14","Question 15","Question 16","Question 17","Question 18","Question 19","Question 20","Question 21"
"02/10/2025 07:00AM","02/10/2025 07:05AM","02/10/2025 07:00AM - 02/10/2025 11:00AM",298.459,"2","1","Finished","67a8f32193e9af387806aabd","0.0","0.0","no","-","10.0.0.14","Participant 2","1","1","1","שום דבר","No","No","No","No","No","Yes","","1","1","3","7","1","5","1","1","1","1","1","1","1","1","1","7"
"02/11/2025 07:00AM","02/11/2025 07:04AM","02/11/2025 07:00AM - 02/11/2025 11:00AM",223.674,"3","1","Finished","67a8f32193e9af387806aabd","0.0","0.0","no","-","10.0.0.14","Participant 2","1","1","1","שום דבר","No","No","No","No","No","Yes","","1","1","4","7","1","7","1","1","4","1","1","1","1","1","1","7"
"02/12/2025 07:01AM","02/12/2025 07:03AM","02/12/2025 07:00AM - 02/12/2025 11:00AM",92.665,"4","1","Finished","67a8f32193e9af387806aabd","0.0","0.0","no","-","2a06:c701:4c92:5a00:55b3:3a36:d1f5:8d76","Participant 2","1","1","1","שום דבר","No","No","No","No","No","Yes","","1","1","3","1","1","7","1","1","1","1","1","1","1","1","1","7"
"02/16/2025 07:05AM","02/16/2025 07:07AM","02/16/2025 07:00AM - 02/16/2025 11:00AM",111.888,"8","1","Finished","67a8f32193e9af387806aabd","0.0","0.0","no","-","2001:40a8:7fa:8361:85c9:6589:8de5:de4c","Participant 2","1","1","1","שום דבר","No","No","No","No","No","Yes","","1","1","3","7","1","1","1","1","1","1","1","1","1","1","1","7"
"02/17/2025 07:00AM","02/17/2025 07:01AM","02/17/2025 07:00AM - 02/17/2025 11:00AM",60.705,"9","1","Finished","67a8f32193e9af387806aabd","0.0","0.0","no","-","2001:40a8:7f7:5d95:a52f:8071:ad2b:c473","Participant 2","1","1","1","שום דבר","No","No","No","No","No","Yes","","1","1","3","7","1","1","1","1","1","1","1","1","1","1","1","7"
"02/18/2025 07:01AM","02/18/2025 07:02AM","02/18/2025 07:00AM - 02/18/2025 11:00AM",65.97,"10","1","Finished","67a8f32193e9af387806aabd","0.0","0.0","no","-","2a06:c701:4cab:6f00:d0ff:c00b:fa83:7567","Participant 2","1","1","1","שום דבר","No","No","No","No","No","Yes","","1","1","3","7","1","1","1","1","1","1","1","1","1","1","1","7"
"05/05/2025 07:51AM","05/05/2025 07:58AM","05/05/2025 07:00AM - 05/05/2025 11:00AM",372.748,"2","1","Finished","68178ea45a3f3054a098a838",,,"no","-","100.105.57.105","Participant 3","3","3","1","אח שלי הקטן נדנד לי קצת","No","No","No","No","No","Yes","","4","5","3","6","2","6","6","2","5","5","1","2","5","2","1","7"
"05/06/2025 07:49AM","05/06/2025 07:53AM","05/06/2025 07:00AM - 05/06/2025 11:00AM",221.899,"3","1","Finished","68178ea45a3f3054a098a838",,,"no","-","10.100.102.4","Participant 3","2","5","3","אמא שלי התעצבנה עליי שיצאתי לרוץ ובגלל זה אני מאחר לבית ספר ","No","No","No","No","No","Yes","","5","5","4","3","7","3","2","2","3","5","2","4","4","4","6","6"
"05/07/2025 07:49AM","05/07/2025 07:52AM","05/07/2025 07:00AM - 05/07/2025 11:00AM",182.06,"4","1","Finished","68178ea45a3f3054a098a838",,,"no","-","10.100.102.4","Participant 3","3","5","5","קמתי מוקדם וחזרתי לישון אז עני מאוכזב מעצמי","Yes","No","No","No","No","No","","6","6","2","3","6","2","5","2","3","5","6","5","3","2","5","4"
"05/09/2025 07:20AM","05/09/2025 07:23AM","05/09/2025 07:00AM - 05/09/2025 11:00AM",175.306,"6","1","Finished","68178ea45a3f3054a098a838",,,"no","-","10.100.102.8","Participant 3","5","5","2","אח שלי הקטן זרק עליי דברים ","No","No","No","No","No","Yes","","5","3","2","2","1","6","5","2","2","2","1","2","1","3","5","6"
"05/11/2025 07:14AM","05/11/2025 07:17AM","05/11/2025 07:00AM - 05/11/2025 11:00AM",177.485,"8","1","Finished","68178ea45a3f3054a098a838",,,"no","-","10.100.102.8","Participant 3","5","5","5","אחותי צועקת בבית וזה מפריע","Yes","No","No","No","No","No","","6","6","3","2","7","3","5","5","6","5","3","5","5","3","5","5"
"05/12/2025 07:14AM","05/12/2025 07:16AM","05/12/2025 07:00AM - 05/12/2025 11:00AM",172.498,"9","1","Finished","68178ea45a3f3054a098a838",,,"no","-","10.100.102.8","Participant 3","2","3","1","אין לי כרגע","No","No","No","No","No","Yes","","3","5","6","2","5","6","6","4","4","4","3","3","2","2","2","6"
"05/13/2025 10:25AM","05/13/2025 10:28AM","05/13/2025 07:00AM - 05/13/2025 11:00AM",203.539,"10","1","Finished","68178ea45a3f3054a098a838",,,"no","-","10.100.102.8","Participant 3","3","4","1","לא הבנתי את html שצריך לhomepage וגם בlong-run שלי הקאדנס לא היה מספיק גבוה והגליקוגן שלי ירד לאיזה 40%","No","No","No","No","No","Yes","","2","1","6","6","3","7","6","1","1","5","2","2","1","1","2","6"
"06/16/2025 09:34AM","06/16/2025 09:36AM","06/16/2025 07:00AM - 06/16/2025 11:00AM",128.871,"2","1","Finished","684ecd4b1ecbd049d179f1bb","0.0","0.0","no","-","2a00:a040:199:7d1e:212d:8a44:94d4:da42","Participant 4","3","3","2","שבארבע לפנות בוקר הייתי צריך לקום בגלל אזעקה","No","Yes","No","No","No","No","","1","1","1","4","1","3","1","1","7","3","3","2","1","4","2","3"
"06/17/2025 09:08AM","06/17/2025 09:10AM","06/17/2025 07:00AM - 06/17/2025 11:00AM",116.699,"3","1","Finished","684ecd4b1ecbd049d179f1bb","0.0","0.0","no","-","2a00:a040:199:7d1e:fc46:362e:5221:f480","Participant 4","4","5","3","שאיראן העירו אותי מוקדם עם אזעקות","No","No","No","No","No","Yes","","4","4","1","4","2","3","1","1","6","2","2","3","1","3","2","3"
"06/19/2025 07:47AM","06/19/2025 07:49AM","06/19/2025 07:00AM - 06/19/2025 11:00AM",98.567,"5","1","Finished","684ecd4b1ecbd049d179f1bb","0.0","0.0","no","-","192.168.1.44","Participant 4","6","5","5","שהאיראנים העירו אותי בשבע בבוקר","No","No","No","No","No","Yes","","3","4","2","2","2","4","1","1","7","5","1","3","3","2","2","2"
"06/22/2025 10:22AM","06/22/2025 10:24AM","06/22/2025 07:00AM - 06/22/2025 11:00AM",108.585,"8","1","Finished","684ecd4b1ecbd049d179f1bb","0.0","0.0","no","-","192.168.1.44","Participant 4","2","3","2","עוד אזעקה שהעירה אותי","Yes","Yes","No","No","No","No","","5","2","1","2","1","5","1","2","2","4","2","5","1","4","2","2"
"06/23/2025 10:27AM","06/23/2025 10:29AM","06/23/2025 07:00AM - 06/23/2025 11:00AM",121.552,"9","1","Finished","684ecd4b1ecbd049d179f1bb","0.0","0.0","no","-","10.231.96.133","Participant 4","5","5","5","שהעיר אותי התרעה של אזעקות","No","No","No","No","No","Yes","","4","2","1","2","1","3","1","2","7","6","1","2","4","5","2","2"
"06/24/2025 07:02AM","06/24/2025 07:04AM","06/24/2025 07:00AM - 06/24/2025 11:00AM",87.738,"10","1","Finished","684ecd4b1ecbd049d179f1bb","0.0","0.0","no","-","10.234.86.161","Participant 4","5","2","4","שמחמש בבוקר עד עכשיו היה ארבע התראות ל אזעקה","Yes","No","No","No","No","No","","4","3","1","4","3","3","4","1","6","5","2","2","3","2","1","3"
